Time                Connection      Action                           Details                                                                                                                                                                                                                                                                                                            Severity  Alarm                                  
2016/6/29 13:21:24  10.134.154.141  Alarm upgraded from Information  The disk activity for the most active disk is currently 98.69%. (averaged over 30 seconds)                                                                                                                                                                                                                             High  Most Active Disk (Pct Busy)              
2016/6/28 11:07:40  10.134.154.141  Alarm upgraded from Medium       Page in rates are at 13,283.3. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)           High  Page In (Paging In)                      
2016/6/28 11:02:30  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 11,313.19. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/28 10:56:12  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/28 10:51:12  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/28 10:50:19  10.134.154.141  Alarm upgraded from Information  The disk activity for the most active disk is currently 100.05%. (averaged over 30 seconds)                                                                                                                                                                                                                            High  Most Active Disk (Pct Busy)              
2016/6/28 10:43:11  10.134.154.141  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/28 10:30:08  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/28 10:29:21  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 11,766.83. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/28 10:15:08  10.134.154.141  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/28 10:14:18  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/28 09:56:05  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,234.25. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/28 09:28:34  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,283.7. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page Out (Paging Out)                    
2016/6/28 09:18:20  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/28 09:14:26  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,168.5. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page Out (Paging Out)                    
2016/6/28 09:02:18  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/28 08:58:20  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,711.27. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/28 08:47:34  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 12,142.96. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/28 08:47:33  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/28 08:45:15  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,307.8. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page Out (Paging Out)                    
2016/6/28 08:30:32  10.134.154.141  Alarm raised                     The disk activity for the most active disk is currently 100%. (averaged over 30 seconds)                                                                                                                                                                                                                               High  Most Active Disk (Pct Busy)              
2016/6/28 08:27:32  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,131.12. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/28 08:27:31  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/28 08:19:03  10.134.154.141  Alarm upgraded from Medium       Page in rates are at 13,049.97. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
2016/6/28 08:17:03  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/28 08:14:03  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/28 08:02:42  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/28 08:00:44  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/28 08:00:32  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 11,777.35. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/28 07:49:42  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/28 07:47:43  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/28 07:47:22  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,915.11. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/28 07:36:43  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 23:43:42  10.134.154.141  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 23:42:54  10.134.154.141  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 23:34:31  10.134.154.141  Alarm upgraded from Medium       Page in rates are at 11,369.7. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)           High  Page In (Paging In)                      
2016/6/27 23:32:30  10.134.154.141  Alarm upgraded from Medium       Page in rates are at 10,565.16. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
2016/6/27 23:31:17  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 23:23:27  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 11,221.07. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 23:22:20  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 23:15:20  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 23:11:26  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 18,170.52. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 23:11:26  10.134.154.141  Alarm upgraded from Low          Page in rates are at 13,201.81. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
2016/6/27 23:11:19  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 23:09:20  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 23:00:20  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 22:59:25  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 22:51:25  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 22:48:29  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 22:39:22  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 22:38:39  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 22:27:23  10.134.154.141  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 22:19:23  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 22:19:18  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,967.71. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 22:10:01  10.134.154.141  Alarm upgraded from Medium       Page in rates are at 22,332.74. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
2016/6/27 22:08:21  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 22:08:01  10.134.154.141  Alarm upgraded from Low          Page out rates are at 27,685.72. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 22:07:21  10.134.154.141  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 21:54:21  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 21:52:21  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 21:51:53  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 11,500.65. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 21:39:49  10.134.154.141  Alarm upgraded from Medium       Page in rates are at 20,405.66. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
2016/6/27 21:38:49  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 18,507.87. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 21:38:21  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 21:35:23  10.134.154.141  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 21:26:23  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 21:10:21  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 20:54:27  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 20:32:27  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 20:32:27  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 20:32:27  10.134.154.141  Alarm upgraded from Information  Page in rates are at 80,067.06. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
2016/6/27 20:29:09  10.134.154.141  Alarm raised                     The UNIX (SSH) connection to 10.134.154.141 has failed with the error:  Connection lost (error code is 10054). Spotlight will attempt to re-establish this connection.                                                                                                                                                 High  OS Version (UNIX Status)                 
2016/6/27 20:25:55  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 20:25:48  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 13,540.16. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 20:20:55  10.134.154.141  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 20:15:56  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 20:11:34  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 10,278.99. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 19:25:10  10.134.154.141  Alarm upgraded from Medium       Page in rates are at 10,083.32. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
2016/6/27 19:24:56  10.134.154.141  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                    
2016/6/27 19:24:00  10.134.154.141  Alarm upgraded from Low          Page out rates are at 12,051.89. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 19:22:58  10.134.154.141  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                  
2016/6/27 17:38:23  10.134.154.141  Alarm upgraded from Low          Page out rates are at 14,028.52. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 17:33:26  10.134.154.141  Alarm upgraded from Medium       Page in rates are at 10,300.47. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                      
2016/6/27 17:32:22  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 17,530.47. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/27 17:29:26  10.134.154.141  Alarm upgraded from Medium       Page out rates are at 12,854.95. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                    
2016/6/29 13:59:17  10.134.154.141  Alarm upgraded from Low          Page in rates are at 5,351.51. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         Medium  Page In (Paging In)                      
2016/6/29 13:22:24  10.134.154.141  Alarm downgraded from High       Please investigate the moderate memory shortage on this machine.  Look for badly behaving processes.                                                                                                                                                                                                                 Medium  Swap In (Swapping In)                    
2016/6/29 13:22:02  10.134.154.141  Alarm downgraded from High       Page in rates are at 6,182.92. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         Medium  Page In (Paging In)                      
2016/6/29 13:04:24  10.134.154.141  Alarm downgraded from High       Please investigate the moderate memory shortage on this machine.  Look for badly behaving processes.                                                                                                                                                                                                                 Medium  Swap Out (Swapping Out)                  
2016/6/29 13:03:24  10.134.154.141  Alarm upgraded from Low          Please investigate the moderate memory shortage on this machine.  Look for badly behaving processes.                                                                                                                                                                                                                 Medium  Swap In (Swapping In)                    
2016/6/29 12:50:26  10.134.154.141  Alarm downgraded from High       Please investigate the moderate memory shortage on this machine.  Look for badly behaving processes.                                                                                                                                                                                                                 Medium  Swap Out (Swapping Out)                  
2016/6/29 12:50:26  10.134.154.141  Alarm upgraded from Low          Please investigate the moderate memory shortage on this machine.  Look for badly behaving processes.                                                                                                                                                                                                                 Medium  Swap In (Swapping In)                    
2016/6/29 12:45:23  10.134.154.141  Alarm downgraded from High       Please investigate the moderate memory shortage on this machine.  Look for badly behaving processes.                                                                                                                                                                                                                 Medium  Swap In (Swapping In)                    
2016/6/29 12:43:41  10.134.154.141  Alarm upgraded from Low          Page in rates are at 5,074.39. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         Medium  Page In (Paging In)                      
2016/6/29 12:42:23  10.134.154.141  Alarm downgraded from High       Please investigate the moderate memory shortage on this machine.  Look for badly behaving processes.                                                                                                                                                                                                                 Medium  Swap Out (Swapping Out)                  
