Time                Connection      Action                           Details                                                                                                                                                                                                                                                                                                            Severity  Alarm                                    
2016/6/29 13:19:53  10.134.154.139  Alarm upgraded from Medium       The disk activity for the most active disk is currently 98.22%. (averaged over 30 seconds)                                                                                                                                                                                                                             High  Most Active Disk (Pct Busy)                
2016/6/29 12:41:54  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/29 12:40:54  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 18,998.7. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)           High  Page In (Paging In)                        
2016/6/29 12:40:39  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/29 12:25:53  10.134.154.139  Alarm raised                     The disk activity for the most active disk is currently 100.11%. (averaged over 30 seconds)                                                                                                                                                                                                                            High  Most Active Disk (Pct Busy)                
2016/6/29 12:25:41  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 14,246.55. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/29 12:23:53  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/29 12:20:24  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,455.6. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)           High  Page In (Paging In)                        
2016/6/29 12:19:24  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/29 12:15:09  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 16:17:12  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,371.07. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/28 11:12:44  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,929.11. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/28 11:12:15  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 11:12:13  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 14,172.97. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 11:12:13  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,496.25. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/28 11:06:35  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 12,351.94. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/28 11:03:15  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,735.33. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/28 11:02:14  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 10,991.08. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 10:55:56  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 10:52:55  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 10:52:09  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 10,447.32. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 10:49:55  10.134.154.139  Alarm upgraded from Information  The disk activity for the most active disk is currently 100.03%. (averaged over 30 seconds)                                                                                                                                                                                                                            High  Most Active Disk (Pct Busy)                
2016/6/28 10:49:55  10.134.154.139  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 10:43:58  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 10:29:03  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 10,574.35. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 10:28:55  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 10:18:55  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 10:14:55  10.134.154.139  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 10:14:18  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 09:56:46  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 11,557.92. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 09:28:34  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 10,260.93. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 09:18:11  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 09:14:27  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 10,125.37. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 09:02:20  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 08:58:19  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 11,330.83. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 08:47:34  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 11,968.7. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page Out (Paging Out)                      
2016/6/28 08:46:47  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 08:45:13  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 10,406.22. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 08:29:46  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 08:22:54  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 15,301.42. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 08:18:48  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 12,229.9. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)           High  Page In (Paging In)                        
2016/6/28 08:17:04  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 08:14:04  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 08:02:48  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 08:00:48  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 08:00:31  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 12,115.04. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 07:49:48  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/28 07:47:50  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/28 07:47:26  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 11,202.53. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/28 07:36:50  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 23:43:14  10.134.154.139  Alarm raised                     The UNIX (SSH) connection to 10.134.154.139 has failed with the error:  Connection lost (error code is 10054). Spotlight will attempt to re-establish this connection.                                                                                                                                                 High  OS Version (UNIX Status)                   
2016/6/27 23:33:11  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,713.19. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/27 23:33:02  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 23:23:04  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 23:15:04  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 23:12:04  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 23:12:04  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 23:10:28  10.134.154.139  Alarm raised                     The UNIX (SSH) connection to 10.134.154.139 has failed with the error:  Connection lost (error code is 10054). Spotlight will attempt to re-establish this connection.                                                                                                                                                 High  OS Version (UNIX Status)                   
2016/6/27 23:09:20  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 23:00:54  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 11,083.87. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/27 23:00:20  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 22:58:41  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 22:51:26  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 22:47:29  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 22:40:43  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,535.25. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/27 22:39:23  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 22:38:55  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 22:27:23  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 22:19:33  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 18,136.85. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/27 22:19:23  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 22:09:30  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 14,544.14. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/27 22:09:30  10.134.154.139  Alarm upgraded from Low          Page in rates are at 18,676.93. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/27 22:09:23  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 22:08:27  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 10,059.48. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/27 22:08:26  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 21:54:23  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 21:52:23  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 21:52:23  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 16,130.73. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/27 21:39:22  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 21:39:19  10.134.154.139  Alarm upgraded from Low          Page in rates are at 15,054.29. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/27 21:38:22  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 10,687.66. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/27 21:38:22  10.134.154.139  Alarm raised                     This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 21:35:22  10.134.154.139  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 21:26:22  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 21:10:22  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 20:54:25  10.134.154.139  Alarm upgraded from Low          This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap Out (Swapping Out)                    
2016/6/27 20:54:25  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 20:52:55  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 20:50:55  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 20:48:25  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 20:46:25  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 20:42:17  10.134.154.139  Alarm upgraded from Medium       Page out rates are at 10,112.15. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)         High  Page Out (Paging Out)                      
2016/6/27 20:40:43  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,132.02. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
2016/6/27 20:39:40  10.134.154.139  Alarm upgraded from Medium       This machine is critically short of memory.  Start killing unwanted or errant processes.                                                                                                                                                                                                                               High  Swap In (Swapping In)                      
2016/6/27 20:38:09  10.134.154.139  Alarm upgraded from Medium       Page in rates are at 10,210.16. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. This may indicate a memory shortage. Please use the Process drilldown to determine Process with large Virtual set size usages(vsz). (averaged over 30 seconds)          High  Page In (Paging In)                        
